year,month,mp,cbi,lip,lcpi,lsp500,ebp,gs1
1999,3,-0.002741,-0.02280238,447.6342001634136,510.47326174753715,715.5911391697639,-0.189158,4.78
1999,4,0.0,0.0,447.856560466077,511.13851971963993,719.6506779391938,-0.231368,4.69
1999,5,0.13349271,-0.03159376,448.46768557994017,511.19877883565437,719.4489402272051,-0.235324,4.85
1999,6,-0.14761526,0.04317166,448.4022370804933,511.19877883565437,718.7316970201147,-0.173645,5.1
1999,7,0.0,0.0,448.98693172050974,511.6195789756748,723.0555912253459,-0.128053,5.03
1999,8,-0.03164363,0.03893342,449.42464464792744,511.8592435601348,719.1045220131036,-0.061728,5.2
1999,9,0.0,0.0,449.0100465959325,512.2772794033107,718.3999690052864,0.0614364,5.25
1999,10,0.0801785,-0.01655772,450.28151493500934,512.455904041457,717.0127235727736,0.0821914,5.43
1999,11,0.05714883,0.01858922,450.81393266634757,512.6342101808226,723.7778191923443,0.0387869,5.55
1999,12,-0.01280957,0.04500721,451.6102878839842,512.8714582161857,726.4506220033015,-0.190705,5.84
2000,1,0.0,0.0,451.53461298497257,513.167228913909,726.2341042101594,0.0011811,6.12
2000,2,0.01707833,-0.02291815,451.87895191499007,513.5798437050262,723.6245745861692,0.070338,6.22
2000,3,-0.00150722,-0.00620385,452.2690344247799,514.166355650266,727.3931938309681,0.332582,6.22
2000,4,0.0,0.0,452.9000551607008,514.1078590121546,728.7122787968428,0.4893596,6.15
2000,5,0.06791757,-0.00875011,453.18970959924815,514.2832463707641,725.7341154748733,0.6735801,6.33
2000,6,-0.03362769,-0.00148634,453.2618847804663,514.865659199363,728.7533280154316,0.72827,6.17
2000,7,0.0,0.0,453.0848498691223,515.1555985152633,729.505641646263,0.8105189,6.08
2000,8,0.03319831,0.01418896,452.8191944704041,515.1555985152633,730.3479767579506,0.9968584,6.18
2000,9,0.0,0.0,453.24134543437333,515.675380222625,729.1690268539937,1.0947281,6.13
2000,10,0.03241647,0.00615842,452.87210138246854,515.8480421360238,723.7159740477338,1.5061524,6.01
2000,11,0.04400416,-0.03787128,452.8941196836513,516.0204064418402,722.623810058663,1.5688233,6.09
2000,12,0.04411346,-0.02270342,452.5539143568785,516.2497643405502,719.3633224976039,1.575035,5.6
2001,1,-0.33434755,0.14139377,452.0600915536491,516.8208681201016,719.7158369632151,1.1507927,4.81
2001,2,0.0,0.0,451.39875760351043,517.0483995038152,717.4532867316408,1.1441309,4.68
2001,3,0.0021253,-0.06941443,451.1502157115569,517.105201550216,707.8215096010904,1.072095,4.3
2001,4,-0.38990668,-0.11295039,450.7980641283356,517.2754143572691,708.1574123284342,0.8743772,3.98
2001,5,-0.09584866,-0.05141884,450.27021497421475,517.7843213080163,714.7063475604469,0.7279589,3.78
2001,6,0.07394064,0.01153445,449.73744854507044,518.0096735160606,712.1825794507305,0.9693387,3.58
2001,7,0.0,0.0,449.12755805785105,517.8407069875478,709.3778310192905,0.7341043,3.62
2001,8,-0.00348983,-0.08610396,449.03988605760776,517.8407069875478,707.2006207702935,0.7432607,3.47
2001,9,0.0,0.0,448.4976872945489,518.2345190295616,695.1427607438324,1.1846184,2.82
2001,10,-0.00897583,-0.05090958,448.1929660287153,517.953383055807,698.1553917582883,1.0075669,2.33
2001,11,-0.12646456,-0.04990292,447.6040520106129,517.8970608915471,702.9689685760997,-0.207184,2.18
2001,12,-0.05178598,-0.02018197,447.56513038938886,517.8407069875478,704.3098778748318,0.3407877,2.22
2002,1,0.01530242,0.0108524,448.25889071526086,518.0096735160606,703.8967734950181,0.5333809,2.16
2002,2,0.0,0.0,448.2525602133178,518.1783550292085,700.3674364274973,0.7199524,2.23
2002,3,-0.01501768,-0.05542402,449.00567088873623,518.4588601219693,705.0807454771883,0.2013306,2.57
2002,4,0.0,0.0,449.4804945338258,518.9060380611087,701.3942452863882,0.3416034,2.48
2002,5,0.00138627,-0.03427577,449.90849633491405,519.0175207928334,698.4040165651421,0.4483583,2.35
2002,6,0.03155051,-0.02592194,450.72662452923964,519.07321558681,692.1707492600141,0.89426,2.2
2002,7,0.0,0.0,450.6935333495019,519.295685089021,680.6375717688874,1.5080288,1.96
2002,8,-0.01488055,-0.08681227,450.5907706125331,519.5730777772936,681.624287847603,1.4227093,1.76
2002,9,0.05396967,-0.06657141,450.68658281030827,519.7391447958076,676.5972796690344,1.5951937,1.72
2002,10,0.0,0.0,450.4230992973743,519.9601393608879,675.0668626736077,1.4000871,1.65
2002,11,-0.01938061,-0.08331541,450.97016936529985,520.1255653704904,681.3367673475241,0.9819428,1.49
2002,12,0.02681831,-0.00876987,450.4140279690712,520.2907181743378,680.1483236899187,0.8668787,1.45
2003,1,0.01206695,0.03105128,451.23627716518183,520.7297968160868,679.7761825600583,0.8374945,1.36
2003,2,0.0,0.0,451.3608471899643,521.275947818639,673.0564537017199,0.6205313,1.3
2003,3,0.02932688,-0.02225155,451.08660999017076,521.4392131610276,674.1251951715178,0.1033863,1.24
2003,4,0.0,0.0,450.4588234783239,521.057845224003,679.1255170023256,0.030336,1.27
2003,5,-0.05249047,-0.03710189,450.4244267398131,520.893955539682,684.157274052169,-0.537267,1.18
2003,6,0.08285353,0.0584434,450.55664018426256,521.0032451680464,689.5682697747868,-0.411813,1.01
2003,7,0.0,0.0,451.0715540110228,521.330399222108,690.0267314016234,-1.13983,1.12
2003,8,-0.01261698,-0.02172312,450.85854943384834,521.7649463480582,689.7230082925626,-0.230189,1.31
2003,9,-0.00763667,0.00425623,451.5047428214876,522.0896219579453,692.7008735904024,-0.586818,1.24
2003,10,-0.0398052,-0.04141363,451.63925227601914,521.9815138393079,694.5754092073348,-0.549993,1.25
2003,11,0.0,0.0,452.3162632602184,522.0355825078325,695.6450200520895,-0.591718,1.34
2003,12,0.0211188,0.00726002,452.36694158579303,522.3054882047489,698.5308737197203,-0.548712,1.31
2004,1,0.11745744,0.00809439,452.5334456893011,522.7358277607543,703.2200517245402,-0.735801,1.24
2004,2,0.0,0.0,453.1518263673985,522.9503050547677,704.1726574835045,-0.354229,1.24
2004,3,-0.02608672,-0.0324192,452.7606403239727,523.1643233280045,702.4631236701023,-0.546721,1.19
2004,4,0.0,0.0,453.1477358419162,523.3245369804322,703.2694867537955,-0.798504,1.43
2004,5,-0.01869999,0.0247886,453.88647714800373,523.750522715128,700.5589543330491,-0.408187,1.78
2004,6,-0.02950979,0.00237064,453.1147902470685,524.1217774507464,703.2412411581554,-0.412947,2.12
2004,7,0.0,0.0,453.84981906119873,524.2275975664412,700.8369549014731,-0.343106,2.1
2004,8,0.04267656,0.00665708,453.93519129839774,524.2804656617777,699.2960024996364,-0.424133,2.02
2004,9,-0.00879301,-0.0053021,454.0474852556115,524.5970886175828,701.8992492972694,-0.575399,2.12
2004,10,0.0,0.0,454.9335013924515,525.1225759014186,701.9359263561805,-0.536935,2.23
2004,11,-0.02110529,-0.00710592,455.1785231920607,525.5931650051599,706.3852634235259,-0.697357,2.5
2004,12,-0.01108851,-0.00334776,455.9560708068839,525.5931650051599,708.9418285646215,-0.751644,2.67
2005,1,0.0,0.0,456.30817648881117,525.540986553676,707.4463919370916,-0.725014,2.86
2005,2,-0.00809971,-0.00580144,457.02774535998907,525.9576538231606,708.9768454898264,-0.996369,3.03
2005,3,0.05382629,0.01337349,456.8864021408789,526.3208189434469,708.5817778855709,-0.709385,3.3
2005,4,0.0,0.0,457.09378899673567,526.6310570412951,705.9978387952059,-0.452431,3.32
2005,5,-0.03419972,0.03978841,457.18729344449207,526.5794174842478,707.1811026969199,-0.364474,3.33
2005,6,0.04792104,-0.00131502,457.6238676957015,526.6310570412951,709.1958397860755,-0.51666,3.36
2005,7,0.0,0.0,457.3057034171627,527.2486606513514,710.8440519793049,-0.620973,3.64
2005,8,-0.02262162,0.00290727,457.63426363162046,527.86247332023,711.0100026981559,-0.592519,3.87
2005,9,0.02121619,0.00332678,455.678214095792,529.2299294222473,711.1438704339887,-0.516328,3.85
2005,10,0.0,0.0,456.89324593035,529.3807211070151,708.3354290015266,-0.365562,4.18
2005,11,-0.00985078,0.01626548,457.9868788125565,528.8771953704505,712.0743438419604,-0.369775,4.33
2005,12,-0.04484444,0.01789893,458.4684785655442,528.8771953704505,714.0508509074779,-0.334747,4.35
2006,1,0.02840183,0.00123353,458.6262558060464,529.4811227218748,715.361485658008,-0.384008,4.45
2006,2,0.0,0.0,458.66874272820246,529.5312857527738,715.199473859108,-0.366033,4.68
2006,3,0.05983945,-0.01415822,458.8952385515257,529.681624042177,716.5292527515207,-0.453735,4.77
2006,4,0.0,0.0,459.1908639104898,530.1811255802293,717.179506206095,-0.485792,4.9
2006,5,0.03669583,0.0136904,459.21599182996954,530.4796332645747,716.2397497355718,-0.386787,5.0
2006,6,-0.05356927,0.01094815,459.55217895481405,530.7277107919509,713.3391720462037,-0.41008,5.16
2006,7,0.0,0.0,459.48683033478346,531.2713246831769,713.9057457997714,-0.308923,5.22
2006,8,-0.00542162,-0.03483816,459.91993962469024,531.7139120788624,716.018575092124,-0.308675,5.08
2006,9,0.02479889,-0.00710418,459.73859674188776,531.2220271717028,718.3726546855845,-0.390159,4.97
2006,10,-0.00074483,-0.00964962,459.6360494358594,530.7772525318792,721.7722189611761,-0.400931,5.01
2006,11,0.0,0.0,459.6092104614717,530.8267697401205,723.6072928579534,-0.386043,5.01
2006,12,-0.03160993,-0.00050274,460.62945536498006,531.3698468586339,725.5887840443057,-0.520954,4.94
2007,1,-0.0327017,0.02467783,460.27131699949166,531.5356374642572,726.1337445210621,-0.567627,5.06
2007,2,0.0,0.0,461.2310632216353,531.9227223776111,727.5719261265568,-0.575391,5.05
2007,3,-0.09002412,0.00723751,461.4082354374666,532.4413871269311,724.9179519880248,-0.382816,4.92
2007,4,0.0,0.0,462.07708601766655,532.741004075131,728.868859490097,-0.38559,4.93
2007,5,0.02619477,0.01016162,462.1308263880165,533.1534517408234,732.0619611852243,-0.635533,4.91
2007,6,0.02230824,-0.01029182,462.15817760935016,533.3848589587692,732.2834027606273,-0.418542,4.96
2007,7,0.0,0.0,462.0012491990994,533.5627602054374,732.6926034146413,-0.002593,4.96
