quarter,y,g,newsy,taxy,debty,infl,unemp,slack,zlb,recession,wwii,ag,y_cbo,g_cbo,newsy_cbo,ypc,gpc,newsy_hbr
1915.75,0.9916258962409535,0.07943946586859262,0.022896889721489382,0.017891283476503286,0.032520318944184765,7.613615071557334,8.4,1.0,0.0,0.0,0.0,0.00121691297168819,0.9807972843414599,0.07857198232600365,0.022645037960781825,0.006570457086414396,0.0005263614064899734,0.02447071762441573
1916.0,1.0323328638535247,0.08112003177084308,0.0,0.01781764381040037,0.030149873673572514,18.342135380410518,7.34,1.0,0.0,0.0,0.0,0.003945196162874447,1.0211605131857164,0.08024211586516848,0.0,0.006867493507291651,0.0005396430850976005,0.0
1916.25,1.0341099857028773,0.07223870301929552,0.0,0.015061447546150384,0.028190197883110907,5.00018051462181,6.52,1.0,0.0,0.0,0.0,0.048639314089424145,1.02304040643627,0.07146542739074092,0.0,0.006906973653322344,0.0004824929895298499,0.0
1916.5,1.0339678537569443,0.07863679096470148,0.0062862666468162,0.016604357254638945,0.028967469608284554,-0.08669740661577663,6.07,0.0,0.0,0.0,0.0,0.12275175675424972,1.023039830812489,0.0778056774510481,0.00621897561597806,0.006933753021710273,0.00052733562749357,0.006078343088698784
1916.75,1.0210386673045975,0.0703567216770712,0.0,0.01607127257454851,0.03375504135926671,27.015516095058167,5.98,0.0,0.0,0.0,0.0,0.8005119517487487,1.0104062049848777,0.06962407048948664,0.0,0.0068743097538648415,0.0004736881310787423,0.0
1917.0,0.9728664205964539,0.07837780856638861,0.0,0.01865312380952381,0.04255314993700127,13.166781217784163,6.12,0.0,0.0,0.0,0.0,0.9429785224498359,0.9629045700831343,0.07757524410741463,0.0,0.0065762423159387755,0.0005298070222310973,0.0
1917.25,0.9829254126441918,0.1392108653544307,0.37291486280270225,0.030828536308623294,0.06297606349206349,37.89957320076418,5.86,0.0,0.0,0.0,0.0,0.9060878746785552,0.9730502756711806,0.13781225835351063,0.3690963302284584,0.006671063538267807,0.0009448168864597514,0.3832804232804233
1917.5,0.9631816486803321,0.12330656575274417,0.0,0.022937186578171093,0.08511887291981846,15.269493512876942,5.05,0.0,0.0,0.0,0.0,0.42804287479960934,0.9537093693039277,0.12209392404455209,0.0,0.006565324099452162,0.000840493139447108,0.0
1917.75,0.9700250211134986,0.12346836714132028,0.06694749813181916,0.03617386934673367,0.1216990966076696,4.89583173589434,3.69,0.0,0.0,0.0,0.0,0.16159849219265737,0.9607090087758182,0.1222825906854909,0.06628911203535984,0.00664410951602936,0.0008456867969349716,0.06950589970501475
1918.0,0.9838803162374479,0.2103276998697767,0.0,0.04017216600926085,0.16630850681981335,9.484483409610611,1.98,0.0,0.0,0.0,0.0,0.08847485868898063,0.9746770831287777,0.2083602910100137,0.0,0.006771936186268853,0.0014476616090560055,0.0
1918.25,1.0440971171169924,0.27132853223369646,0.2750224221925607,0.11676372177602667,0.21360349854227406,22.67047049065134,0.79,0.0,0.0,0.0,0.0,0.49247314980668927,1.0346102805099553,0.26886319695987076,0.27244985780665176,0.0072216877509207016,0.001876693178808787,0.2795403875836049
1918.5,1.0640760211816422,0.29828961248336167,-0.07594459834030028,0.07434337382661513,0.24546143355053798,26.63263320234801,0.65,0.0,0.0,1.0,0.0,0.20161996902335427,1.0547119300485743,0.29566460161972064,-0.07525455333985924,0.007399866625554831,0.002074385010306059,-0.07273829368086074
1918.75,1.0301117008678264,0.3287939303493421,-0.16158987046539672,0.044974509001636666,0.2762049972390944,14.771333853928681,1.54,0.0,0.0,1.0,0.0,0.14291794686669096,1.0213606558973731,0.32600074736920975,-0.1601678458702571,0.007209902502840882,0.0023012768220645424,-0.1518498067366096
1919.0,0.9862092896902123,0.249165983856684,0.0,0.07684886877828054,0.3174148936170213,-0.10175334036013339,2.33,0.0,0.0,1.0,0.0,0.2021436196632249,0.9781497497555028,0.2471297394020258,0.0,0.006947307682219949,0.0017552387428222097,0.0
1919.25,0.9971139744311113,0.14594028798314015,0.0,0.06190378574305277,0.3603577488687783,13.316939126259264,2.01,0.0,0.0,0.0,0.0,0.8235125617216772,0.989304787172143,0.14479731429436166,0.0,0.007069731132861803,0.0010347448977253357,0.0
1919.5,1.0138450321108274,0.104865639963499,0.0,0.08031853694948993,0.3515710833668949,20.69776598905584,2.43,0.0,0.0,0.0,0.0,0.987784372019646,1.0062689777302822,0.10408202139670478,0.0,0.007230105676486387,0.0007478358474469412,0.0
1919.75,1.0182105787596651,0.06968607172726196,0.0,0.07646514046622832,0.3222664842000498,11.150738972703955,2.59,0.0,0.0,0.0,0.0,0.9678936243451957,1.0109851843844087,0.06919156758323193,0.0,0.007293361066626236,0.0004991557670132007,0.0
1920.0,1.009389749631618,0.06775476126555838,0.0,0.07163496071829406,0.3002502092050209,25.615869870915375,3.3,0.0,0.0,1.0,0.0,0.9699473475245695,1.0026246630178604,0.06730065834978848,0.0,0.00726238471455489,0.000487483791798844,0.0
1920.25,0.9623420907019129,0.07164957887610322,0.0,0.05573550099535501,0.27271964085297423,21.8511803872957,4.24,0.0,0.0,1.0,0.0,0.9951965710531814,0.956287993662788,0.07119883115601548,0.0,0.006954931844711376,0.0005178178764082809,0.0
1920.5,0.9531976843374317,0.07247654775555612,0.0,0.06959556362835755,0.26475613802256137,2.5561857060475646,5.55,0.0,0.0,1.0,0.0,0.9929778486444273,0.9476089497223127,0.0720516073702809,0.0,0.0069162722727788084,0.0005258799364550633,0.0
